,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
1,Statlog Shuttle,0.033581701791750615,KMeans,0.96766744,1,KMeans,0.22317597,1.0
2,Landsat Satellite,0.0771216840396015,Linear,0.71794872,2,KMeans,0.22317597,1.0
3,,,,,,,,
4,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
5,Landsat Satellite,0.0016559018529820513,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
6,Thyroid Disease,0.24242338190957957,KMeans,0.22317597,2,KMeans,0.96766744,1.0
7,,,,,,,,
8,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
9,Statlog Shuttle,0.0028416551758219844,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369
10,Thyroid Disease,0.017100053963921433,KMeans,0.22317597,2,KMeans,0.65517241,0.93722369
11,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.3333333333333333,0.97887577
0,,,,,2.0,,0.6666666666666666,0.9790745633333334
0,,,,,3.0,,0.0,0.0
0,,,,,4.0,,0.0,0.0
0,,,,,5.0,,0.0,0.0
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
