,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
1,exchange-2_cpc_results.csv,0.091813445,KMeans,0.33333333,1,KMeans,1.0,1.0
2,exchange-4_cpm_results.csv,0.43354774,KMeans,0.75,2,KMeans,1.0,1.0
3,exchange-2_cpm_results.csv,0.4860584,KMeans,0.8,3,KMeans,1.0,1.0
4,exchange-3_cpc_results.csv,0.7948791,Linear,0.57142857,4,KMeans,1.0,1.0
5,exchange-4_cpc_results.csv,0.911625,Linear,0.66666667,5,KMeans,1.0,1.0
6,,,,,,,,
7,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
8,exchange-2_cpm_results.csv,0.2045027,KMeans,0.8,1,KMeans,0.75,1.0
9,exchange-3_cpm_results.csv,0.40561122,Linear,1.0,2,KMeans,0.75,1.0
10,exchange-3_cpc_results.csv,0.47096688,Linear,0.57142857,3,Linear,0.66666667,0.91666667
11,exchange-2_cpc_results.csv,0.52034,KMeans,0.33333333,4,KMeans,0.75,1.0
12,exchange-4_cpc_results.csv,0.5959643,Linear,0.66666667,5,Linear,0.66666667,0.91666667
13,,,,,,,,
14,exchange-2_cpm_results.csv,0,KMeans,0.8,0,KMeans,0.8,1
15,exchange-4_cpm_results.csv,0.075140536,KMeans,0.75,1,KMeans,0.8,1.0
16,exchange-3_cpc_results.csv,0.3853474,Linear,0.57142857,2,KMeans,0.8,1.0
17,exchange-3_cpm_results.csv,0.4696632,Linear,1.0,3,Linear,0.5,0.7
18,exchange-4_cpc_results.csv,0.50510657,Linear,0.66666667,4,Linear,0.5,0.7
19,exchange-2_cpc_results.csv,0.58067626,KMeans,0.33333333,5,Linear,0.5,0.7
20,,,,,,,,
21,exchange-2_cpc_results.csv,0,KMeans,0.33333333,0,KMeans,0.33333333,1
22,exchange-3_cpm_results.csv,0.0971961,Linear,1.0,1,Linear,0.06666667,0.73333334
23,exchange-2_cpm_results.csv,0.43506402,KMeans,0.8,2,KMeans,0.33333333,1.0
24,exchange-4_cpm_results.csv,0.5422997,KMeans,0.75,3,KMeans,0.33333333,1.0
25,exchange-3_cpc_results.csv,0.9292964,Linear,0.57142857,4,KMeans,0.33333333,1.0
26,exchange-4_cpc_results.csv,1.0203799,Linear,0.66666667,5,Linear,0.06666667,0.73333334
27,,,,,,,,
28,exchange-4_cpc_results.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
29,exchange-3_cpc_results.csv,0.1007849,Linear,0.57142857,1,Linear,0.66666667,1.0
30,exchange-4_cpm_results.csv,0.48114914,KMeans,0.75,2,KMeans,0.66666667,1.0
31,exchange-2_cpm_results.csv,0.4848835,KMeans,0.8,3,KMeans,0.66666667,1.0
32,exchange-3_cpm_results.csv,0.9617655,Linear,1.0,4,KMeans,0.66666667,1.0
33,exchange-2_cpc_results.csv,1.0654835,KMeans,0.33333333,5,KMeans,0.66666667,1.0
34,,,,,,,,
35,exchange-3_cpc_results.csv,0,Linear,0.57142857,0,Linear,0.57142857,1
36,exchange-4_cpc_results.csv,0.106843084,Linear,0.66666667,1,Linear,0.57142857,1.0
37,exchange-2_cpm_results.csv,0.46903148,KMeans,0.8,2,KMeans,0.57142857,1.0
38,exchange-4_cpm_results.csv,0.49537328,KMeans,0.75,3,KMeans,0.57142857,1.0
39,exchange-3_cpm_results.csv,0.8889792,Linear,1.0,4,KMeans,0.57142857,1.0
40,exchange-2_cpc_results.csv,1.0022694,KMeans,0.33333333,5,KMeans,0.57142857,1.0
41,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.8333333333333334,0.9555555566666666
0,,,,,2.0,,1.0,1.0
0,,,,,3.0,,0.6666666666666666,0.9361111116666666
0,,,,,4.0,,0.8333333333333334,0.9500000000000001
0,,,,,5.0,,0.5,0.8916666683333333
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
